Prompt,Completion,Review
kàrí bọ́ni wòó ṣi yáà tọ́jú alẹ̀ ke é má parun?,wòó yáà tọ́jú alẹ̀ kée má parun kí wòó bá lajínlẹ̀,
ṣó ò mọ̀ pé ó kọn dandan kí wo lo ajínlẹ̀ késo alẹ̀ yá fùn?,míì mọ̀ pé ọ́ kọn dandan kọ́ni lo ajínlẹ̀ késo alẹ̀ yá fùn,
ṣalẹ̀ yì san hún gbígbẹ̀n kókò?,"eyò, alẹ̀ san-an hún gbígbẹn kòkó",
è sú wéè mẹ́ran ẹn hún?,ìrètí ni mìí mẹ́ran mi hún ní,
ṣọ̀họn irúgbẹ̀n bẹ́ẹ̀ní í fẹ́ ọmi yóò pọ̀  ke ṣí yáà gbó,"eyò, ọ̀họn irúgbẹ̀n bẹ́ẹ̀ní í fẹ́ ọmi yóò pọ̀  ke ṣí yáà gbó",
ọ̀nà sá ì lò yà í hún kojú ọ̀họn kòkòrò ajẹnirun nóko wa á?,ọ̀nà láíláí nà í lò ní yà hún kojú ọ̀họn kòkòrò ajẹnirun nóko wa ní,
ṣó ò rẹ́fọ̀ọ́ nọ́jà ùgbà ò yú níjọ́sí?,ọjà á kún hún ẹ̀fọ́ tuntun náìpẹ́,
kéè ùdín yà hún í gbáko kabé yá dákoó?,à í gbáko kabé yá dáko kóko ráyè mọ́,
ṣó ò mọ̀ pé agribusiness ká di òwò yòó gbòrò níbé?,agribusiness ká di òwò yòó gbòrò níbé,
kéè ùdín yẹ̀ẹ́ hun ra ẹ̀rọ alábọ́dé rẹ̀n sálẹ̀?,ó núdìí yàá hun ra ẹ̀rọ alábọ́dé rẹ̀n sálẹ̀,
ìlú ọni sọ́ ì ti ṣàjọ̀dún àgbẹ̀ ní kete ọdún?,kete ọdún nà í ṣe àjọ̀dún àgbẹ́ ní ìlú mi ní,
kàrí bọ́ni ọ̀họn àgbẹ̀ ṣí yáà mójútó uhun ọ̀gbìn han kójò bé máà tètè rọ̀ọ́?,ọ̀họn àgbẹ̀ yáà mójútó uhun ọ̀gbìn han kójò má tètè rọ̀ ,
kọ́ í pe kiní wòó rà ijọ́ rẹ̀n-ẹ́n?,ajínlẹ̀ nà í pe kiní mìí rà ijọ́ rẹ̀n,
èlù ọmọ ságùntàn ẹ́ bí?,àgùtàn mi  bí méjì nóṣù yòó kọjá,
ṣẹkà wòó gbẹ̀ néṣìín tètè fù?,mòó gbẹ ẹkà néṣìín àmọ́ éè tètè fù,
ṣọrọ̀ ajé ùlú wa dá nórii ọni yòó bá núfẹ̀ẹ́ uṣẹ́ ọwọ́ ẹ̀ gan-an?,ọrọ̀-ajé ùlú wa dá nórii ọni yòó bá núfẹ̀ẹ́ uṣẹ́ ọwọ́ ẹ̀ gan-an,
kàrí bi ẹ̀ í rèé?,à í rebo ìdánilẹ́kọ̀ọ́ bọ́ni ṣi yá lo ọ̀nà ìbílẹ̀ yà hún mú ọjà pọ̀ sí,
ṣó ò kọn dandan kọ́mọ yorùbá mọ bọ́ni yọ̀ ṣi í tọ́jú adìyẹ ẹ́?,yorùbá gbọ́dọ̀ mọ bọ́ni yọ̀ ṣi í tọ́jú adìyẹ ,
kéè gbé kètè oko yọ̀ọ́ ṣẹ̀ wà àná gbọ̀nrè é?,àgbàrá ká gbé kete oko yọ̀ọ́ ṣẹ̀ wà àná gbọ̀nrè,
urúu ẹ̀ran un sẹ́ í sẹ̀n-ẹ́n?,"à í sẹn adìyẹ, à í sẹn tòlótòló, à í sẹn ẹja, à dè í sẹn ewúrẹ́",
ùrúu ọ̀nà sáà yá lò náti mú kálẹ̀ wa má ṣá?,"kà bèé í lo ọ̀nà àgbẹ̀ ìbílẹ̀, á yáà mú kálẹ̀ wa má ṣá",
ṣó ò mọ bọ́ ṣí tọ́jú adìyẹ àti kùúkú?,"bẹ́ẹ̀ni, mìí bọ́ọ̀ ṣí tọ́jú adìyẹ àti kùúkú ẹ̀",
ṣó ò gbẹlá nígbà yù wó yúko níjọ̀sí?,"mìí yúko níìjọ́sí, mìí gbẹlá ",
ṣojojúmọ́ nùwọ àti ọ̀họn ọmọ ẹ í yé wo tòlótòló yẹn-ẹ̀n?,ojoojúmọ́ nèmí àti ọ̀họn ọmọ mi yé wo tòlótòló wa ní,
ṣiba ẹ kọ́ yẹn bọ́ni yọ̀ ṣí í dáko ìgbà yẹ̀ ní kékeé?,ibami kọ́ wa bọ́ni yọ̀ ṣí í dáko ìgbà mì ní kékeé,
ṣi bọ́ni yọ̀ ṣìí gbẹ hun náyé atíjọ́ yàtọ̀ sí bọ́ni yọ̀ ṣií gbẹ hun náyé òde òní?,bọ́ni yọ̀ ṣìí gbẹ hun náyé atíjọ́ yàtọ̀ sí bọ́ni yọ̀ ṣií gbẹ hun náyé òde òní,
"sẹ̀ ẹ́  yú oko náàná, ṣẹ̀ ẹ́ wú iíjẹ yẹ̀ẹ́ yàá hun gúnyán kẹ́ẹ̀ bá délí àmọ́?","à yú oko náàná, à wú iíjẹ yàá fẹ́ hun gúnyán káà bá délí àmọ́ á padà juyán ìgbà yàá délí",
ṣẹ̀ ẹ́ kẹ́rà bórí ọrọ̀n ìgbà yẹ̀ẹ́ gbẹ kókòò tán?,"ìgbà yàá gbẹ kókòò tán, àá kẹ́rà bórí ọrọ̀n náà",
ṣiye ẹ mú ẹ́ẹ́rà dóngóyárò àti tíì àti mọ̀ríngà ságbo náànọ́n?,iye mi ṣàgbo yọ̀ọ́ mú ẹ́ẹ́rà dóngóyárò àti tíì àti mọ̀ríngà sí náànọ́,
kà í bo yọ̀ọ̀ tẹ̀ í balẹ̀ kọ́ọ̀ bé yá gbẹ pákí?,"kọ́ọ̀ bé yá gbẹ pákí, odò nà í tẹ̀ í balẹ̀ ní",
ṣásìkò  yóò san àti gbẹ ẹkà nà wàá ní?,àsìkò  yóò san àti gbẹ ẹkà nà wàá ní,
kẹ́ẹ̀ hun mọ́tò rọjà nọ́ọ̀sẹ̀ yòó kọjá?,à hun mọ́tò kó ọ̀gẹ̀dẹ̀ wa yòó ká gbó rọjà nọ́ọ̀sẹ̀ yòó kọjá,
kú wè ríi nálẹ̀ ìgbà yì wè í wa ìsẹ́n rẹ̀n?,"kóró uṣẹn mó dè dúdú o, mìí ríi nálẹ̀ ìgbà yì mìí wa ìsẹ́n",
ṣùroǹbó náà yùn?,ùroǹbó náà yùn,
ọ̀họn ọni síjọba ìpínlẹ̀ ṣètò ìdíje hún?,ìjọba ìpínlẹ̀ ká ṣètò ìdíje ńhọ̀nhọn yèé gbẹ iíjẹ,
káà gbúdọ̀ nẹ́ káa ṣí yáa núùnjẹ́ yòó dáa?,"káa ṣí yáa núùnjẹ́ yòó dáa, à gbúdọ̀ nẹ́ irúgbìn yóò dáa",
